person_id,trip_key
berlin_2cf9d6d0,1
bb_2442b7f1,1
berlin_0664e4f4,1
berlin_11d120ec,1
berlin_11aaec82,1
bb_da09b86b,1
berlin_e6a62f83,2
berlin_04864ce1,5
bb_04960381,1
berlin_ef6835ff,2
bb_bb12d17b,1
berlin_84de30c5,1
bb_0fa2e02f,1
bb_a77a192e,1
berlin_b5843bc8,1
berlin_60c7586e,1
bb_8340b9ab,3
berlin_2e3b4900,1
berlin_0149a1ac,1
bb_a4a63a12,2
berlin_0d4a1472,1
bb_02beeb11,1
berlin_819f60c4,1
berlin_bf06232f,1
berlin_ebc75a6a,1
bb_571e397f,1
bb_4211505e,1
bb_1f98a2c1,1
bb_6b313972,2
bb_62973edc,1
bb_719c3912,3
bb_a3dd8f3a,3
bb_7dc9658d,1
bb_a7a750c1,1
berlin_ce3b37b9,1
bb_d879ca68,1
berlin_411a2a99,1
berlin_7540f77a,2
bb_59b4d3ae,1
bb_b35a3208,3
berlin_06a3e8b3,1
berlin_32e2b52e,1
bb_563a0fe5,1
bb_62f4a018,1
bb_dcdad96c,1
bb_ff4c1d54,1
berlin_a48facf2,2
bb_f43c586a,1
berlin_83d1adfd,3
berlin_7db9f502,2
bb_95163309,1
bb_ea74ade7,1
berlin_fc1fafb2,1
berlin_8b54927b,1
berlin_d921108f,2
berlin_eeea6ec0,2
berlin_d019de22,2
berlin_f557fc39,2
bb_93c1134c,1
berlin_071f4936,1
berlin_11a5170b,1
bb_56397c5f,1
berlin_cea7cbe9,1
berlin_105452f8,1
berlin_0f02d10a,1
berlin_02d50354,1
berlin_0e2eafe3,1
bb_df56f7e4,3
bb_c332ddd5,1
bb_24604e5f,1
berlin_0e33f421,1
berlin_0e093d1e,2
berlin_9814fffd,2
berlin_3e2d3e1f,1
berlin_b709f65d,1
bb_3072b78a,1
bb_17a6afec,2
berlin_19a36435,1
berlin_735ff28d,1
bb_b70b355e,1
berlin_e9fcfabd,1
bb_b0a721e6,1
bb_442d8074,1
bb_8a945f7a,1
bb_79ffa536,2
berlin_fe084155,3
berlin_0850ba42,1
berlin_0d9ad21e,2
bb_a3bca23f,1
berlin_da6ac1ac,1
berlin_04f70af0,1
berlin_ad5c45f5,1
bb_fa682ed0,1
bb_01ed6179,2
berlin_032588c7,1
bb_8ddbeb96,1
berlin_236f7521,1
bb_63541233,2
bb_4cb13b62,1
berlin_16a8c913,1
bb_591f9a88,2
berlin_b82a0ed3,2
bb_18e541f4,1
berlin_dd4069d6,1
bb_9e830fb3,1
bb_cc6fd218,1
bb_ca8aaec6,1
bb_c569e507,1
bb_858643db,1
bb_a4a63a12,3
bb_4330498a,1
