scenario,case,dimension,group,target_bus_trips,share_target_trips_using_drt,share_target_trips_to_car,mean_delta_journey_min,scenario_wait_mean_min,scenario_wait_p95_min,mean_delta_wait_min
A8_FL,A,age,<25,14,0.14285714285714285,0.07142857142857142,1.1559523809523804,12.789285714285715,35.73916666666667,-2.6630952380952384
A8_FL,A,gender,f,41,0.024390243902439025,0.14634146341463414,-7.669918699186994,12.492276422764226,52.13333333333333,-9.045934959349593
A8_FL,A,gender,m,47,0.3404255319148936,0.2127659574468085,-11.167021276595746,11.491134751773048,32.843333333333305,-5.267021276595744
A8_FL,A,car_availability,always,82,0.1951219512195122,0.1951219512195122,-9.824593495934957,12.195731707317073,42.00250000000001,-7.0628048780487775
A8_FL,A,car_availability,never,6,0.16666666666666666,0.0,-5.616666666666667,8.702777777777778,22.7375,-6.5472222222222225
A8_FL,A,employment,false,25,0.24,0.0,-4.335333333333333,14.859333333333336,37.25333333333332,-5.002666666666666
A8_FL,A,employment,true,63,0.1746031746031746,0.25396825396825395,-11.602116402116401,10.806084656084657,41.95499999999999,-7.831216931216928
A12_FL,A,income,high,13,0.3076923076923077,0.07692307692307693,-0.2282051282051281,12.461538461538463,40.97,-0.10128205128205127
A12_FL,A,income,low,45,0.06666666666666668,0.2222222222222222,-16.414444444444445,10.879629629629632,38.61333333333332,-12.118148148148148
A12_FL,A,income,middle,30,0.3,0.16666666666666666,-9.222222222222225,11.432777777777774,30.67083333333333,-4.316666666666666
A12_FL,A,age,25-44,33,0.15151515151515152,0.24242424242424246,-12.80909090909091,10.835858585858583,31.03333333333333,-7.752020202020201
A12_FL,A,age,45-64,26,0.15384615384615385,0.2307692307692308,-17.693589743589747,10.089743589743591,41.61666666666667,-10.539102564102564
A12_FL,A,age,65+,15,0.2,0.13333333333333333,-3.3544444444444435,11.577777777777778,26.56499999999999,-8.729999999999999
A12_FL,A,age,<25,14,0.2857142857142857,0.0,-6.088095238095237,14.35595238095238,40.441666666666656,-1.0964285714285726
A12_FL,A,gender,f,41,0.12195121951219512,0.24390243902439024,-10.503658536585366,12.173170731707316,40.15,-9.365040650406504
A12_FL,A,gender,m,47,0.23404255319148934,0.1276595744680851,-12.502836879432627,10.541843971631208,31.05833333333333,-6.216312056737588
A12_FL,A,car_availability,always,82,0.17073170731707318,0.1951219512195122,-12.467479674796744,11.169512195121955,39.553333333333356,-8.089024390243901
A12_FL,A,car_availability,never,6,0.3333333333333333,0.0,0.6750000000000007,13.111111111111114,34.80416666666666,-2.1388888888888893
A12_FL,A,employment,false,25,0.2,0.12,-9.530666666666667,10.093333333333334,31.589999999999968,-9.768666666666666
A12_FL,A,employment,true,63,0.1746031746031746,0.20634920634920634,-12.381216931216926,11.781481481481485,40.871666666666655,-6.855820105820104
A4_FH,A,income,high,13,0.15384615384615385,0.07692307692307693,-2.0987179487179484,8.779487179487178,32.71999999999998,-3.7833333333333337
A4_FH,A,income,low,45,0.08888888888888889,0.24444444444444444,-11.217777777777775,12.759259259259254,46.46666666666666,-10.238518518518516
A4_FH,A,income,middle,30,0.2,0.3,-9.503333333333332,10.268888888888887,34.74166666666667,-5.480555555555553
A4_FH,A,age,25-44,33,0.12121212121212123,0.30303030303030304,-9.491919191919193,9.840909090909088,38.376666666666665,-8.746969696969694
A4_FH,A,age,45-64,26,0.038461538461538464,0.3461538461538461,-12.525641025641027,12.608333333333334,49.22500000000001,-8.02051282051282
A4_FH,A,age,65+,15,0.26666666666666666,0.0,-1.712222222222222,14.737777777777776,39.12333333333332,-5.570000000000001
A4_FH,A,age,<25,14,0.21428571428571427,0.14285714285714285,-10.899999999999995,8.766666666666667,31.04333333333333,-6.685714285714285
A4_FH,A,gender,f,41,0.0,0.2682926829268293,-8.506910569105692,12.726016260162602,47.5,-8.812195121951222
A4_FH,A,gender,m,47,0.2553191489361702,0.2127659574468085,-9.965957446808508,10.09787234042553,38.81666666666664,-6.660283687943264
A4_FH,A,car_availability,always,82,0.12195121951219512,0.25609756097560976,-9.407926829268293,11.697764227642276,42.14500000000001,-7.560772357723574
A4_FH,A,car_availability,never,6,0.3333333333333333,0.0,-7.622222222222222,6.191666666666666,17.1125,-9.058333333333334
A4_FH,A,employment,false,25,0.24,0.12,-10.769333333333336,10.328666666666663,33.98999999999997,-9.533333333333333
A4_FH,A,employment,true,63,0.09523809523809523,0.2857142857142857,-8.697619047619048,11.716666666666667,42.09,-6.920634920634921
A8_FH,A,income,high,13,0.15384615384615385,0.07692307692307693,1.3089743589743594,9.484615384615383,29.566666666666652,-3.078205128205129
A8_FH,A,income,low,45,0.13333333333333333,0.2,-15.685555555555556,12.82037037037037,48.85333333333331,-10.177407407407406
A8_FH,A,income,middle,30,0.2,0.13333333333333333,-9.473333333333333,10.106111111111113,29.867499999999982,-5.6433333333333335
A8_FH,A,age,25-44,33,0.15151515151515152,0.18181818181818185,-12.823737373737373,10.974747474747472,36.22333333333332,-7.613131313131312
A8_FH,A,age,45-64,26,0.038461538461538464,0.2692307692307692,-13.521794871794869,10.883974358974356,42.675,-9.744871794871797
A8_FH,A,age,65+,15,0.4,0.0,-4.181111111111111,15.706666666666667,42.95999999999997,-4.601111111111111
A8_FH,A,age,<25,14,0.14285714285714285,0.07142857142857142,-9.683333333333334,8.760714285714286,25.974166666666655,-6.691666666666667
A8_FH,A,gender,f,41,0.024390243902439025,0.1951219512195122,-8.493902439024392,12.061382113821134,43.2,-9.476829268292683
A8_FH,A,gender,m,47,0.2765957446808511,0.1276595744680851,-13.29326241134752,10.827304964539008,37.51166666666665,-5.930851063829786
A8_FH,A,car_availability,always,82,0.15853658536585366,0.17073170731707318,-11.849593495934956,11.56239837398374,41.056666666666665,-7.696138211382111
A8_FH,A,car_availability,never,6,0.16666666666666666,0.0,-0.2277777777777773,9.213888888888887,19.8625,-6.036111111111111
A8_FH,A,employment,false,25,0.28,0.08,-10.478666666666667,11.63533333333333,32.11333333333331,-8.226666666666668
A8_FH,A,employment,true,63,0.1111111111111111,0.19047619047619047,-11.286772486772485,11.309788359788358,41.013333333333335,-7.327513227513224
A12_FH,A,income,high,13,0.07692307692307693,0.2307692307692308,0.1179487179487178,5.6,22.65666666666666,-6.962820512820513
A12_FH,A,income,low,45,0.06666666666666668,0.15555555555555556,-13.368888888888891,13.358888888888893,52.35333333333332,-9.638888888888891
A12_FH,A,income,middle,30,0.2333333333333333,0.16666666666666666,-5.456666666666668,14.44,40.590833333333336,-1.3094444444444449
