scenario,case,hour,compared_trips,target_line_trips,drt_containing_trips,mean_delta_journey_min,drt_wait_mean_min,drt_wait_p95_min
C22_PTI,C,9,262,94,36,0.059923664122137475,13.856018518518514,29.1125
C22_PTI,C,10,182,70,26,1.3722527472527493,13.204487179487181,33.43333333333333
C22_PTI,C,11,259,77,28,1.3385456885456886,10.942261904761908,23.48083333333333
C22_PTI,C,12,301,84,22,-0.6677187153931339,13.140909090909087,27.175
C22_PTI,C,13,319,109,40,0.6949843260188079,12.948749999999995,27.17333333333333
C22_PTI,C,14,380,143,46,0.08372807017543786,13.677173913043482,32.17916666666667
C22_PTI,C,15,521,227,68,1.2424824056301988,11.10808823529412,22.865
C22_PTI,C,16,531,197,56,2.3244821092278736,16.619940476190475,42.40416666666667
C22_PTI,C,17,415,151,51,1.6881927710843376,12.467320261437914,21.641666666666666
C22_PTI,C,18,310,84,25,1.4204301075268826,10.018666666666666,20.069999999999997
C22_PTI,C,19,192,50,12,-0.6685763888888885,9.75,28.854999999999986
C22_PTI,C,20,90,30,8,-5.682407407407408,9.4125,19.5525
C22_PTI,C,21,53,19,8,-4.5452830188679245,6.39375,14.153333333333332
C22_PTI,C,22,29,3,2,3.4971264367816097,1.925,2.2475
C22_PTI,C,23,15,6,1,-4.533333333333333,9.816666666666666,9.816666666666666
C22_PTI,C,24,3,0,0,-0.6944444444444445,,
C22_PTI,C,25,2,0,0,0.0,,
