scenario,case,dimension,group,n,mean_delta_score,median_delta_score,p10_delta_score,p90_delta_score,share_better,share_worse,share_using_drt
A4_FH,A,age,45-64,19,-4.40133927478265,-1.3578445085610014,-18.520408091232987,1.9821767892975732,0.3157894736842105,0.6842105263157895,0.05263157894736842
A4_FH,A,age,65+,10,-1.0307670631916124,-0.7090796598670508,-4.8612699873637615,1.3223750509226275,0.4,0.6,0.2
A4_FH,A,age,<25,12,-5.496841096670782,-1.7893814301193558,-12.131488692958989,-0.4508511536628192,0.08333333333333333,0.9166666666666666,0.3333333333333333
A4_FH,A,gender,f,31,-3.7858168122731812,-1.8467080694614992,-12.226176119340865,1.6177253379168235,0.2903225806451613,0.7096774193548387,0.0
A4_FH,A,gender,m,36,-5.446307488813572,-2.047183165733358,-16.460357849384508,0.5300053865039018,0.19444444444444445,0.8055555555555556,0.3055555555555556
A4_FH,A,car_availability,always,61,-4.6485755994786295,-2.110801423406315,-13.28977773742507,1.2576506729242,0.26229508196721313,0.7377049180327869,0.13114754098360654
A4_FH,A,car_availability,never,6,-4.977379868260125,-1.3596140481666479,-13.120832762303793,-0.4516927943099347,0.0,1.0,0.5
A4_FH,A,employment,false,19,-4.78094957880958,-1.6814333977830669,-18.427834686917116,0.9846254518927194,0.21052631578947367,0.7894736842105263,0.2631578947368421
A4_FH,A,employment,true,48,-4.637278099591149,-2.8929613439614386,-12.545256604766125,1.1896685698771348,0.25,0.75,0.125
A8_FH,A,income,high,12,-0.5834592810087914,-0.33976882212107995,-2.2551134791093475,1.2261217463208651,0.3333333333333333,0.6666666666666666,0.16666666666666666
A8_FH,A,income,low,31,-7.046823195233947,-7.373910500755103,-15.359203885907164,1.6177253379168235,0.1935483870967742,0.8064516129032258,0.1935483870967742
A8_FH,A,income,middle,24,-4.055111662122845,-1.8126574152365509,-11.73876121866366,1.4984536511605693,0.3333333333333333,0.6666666666666666,0.20833333333333331
A8_FH,A,age,25-44,26,-5.6269539649563525,-3.7138143319379617,-14.450445463452688,0.9847598685229569,0.2692307692307692,0.7307692307692307,0.19230769230769232
A8_FH,A,age,45-64,19,-5.503178659877354,-2.330866157403477,-14.439118780806654,1.9401327076737764,0.3157894736842105,0.6842105263157895,0.05263157894736842
A8_FH,A,age,65+,10,-1.6145917472664837,-1.0610997945015797,-4.424123528533161,0.9728700527728108,0.3,0.7,0.4
A8_FH,A,age,<25,12,-4.647382934675535,-1.6489918507764398,-12.214311847243524,1.6746399547360815,0.16666666666666666,0.8333333333333334,0.25
A8_FH,A,gender,f,31,-3.8587440839429683,-2.330866157403477,-10.3160375972465,1.674969198111242,0.3225806451612903,0.6774193548387096,0.03225806451612903
A8_FH,A,gender,m,36,-5.643184547585392,-2.094742439023534,-16.855610731302512,0.8207530225785149,0.2222222222222222,0.7777777777777778,0.3333333333333333
A8_FH,A,car_availability,always,61,-4.935122067583821,-2.217866126212669,-12.449742589620866,1.6177253379168235,0.2786885245901639,0.7213114754098361,0.18032786885245905
A8_FH,A,car_availability,never,6,-3.6222106987821827,-0.7907702458332011,-12.86296403872648,2.787102188213133,0.16666666666666666,0.8333333333333334,0.3333333333333333
A8_FH,A,employment,false,19,-5.448810759066301,-1.6814333977830669,-19.63376231086313,1.0045265144663174,0.21052631578947367,0.7894736842105263,0.3157894736842105
A8_FH,A,employment,true,48,-4.567673039438469,-2.5423100856596506,-12.43910144916245,1.6962868099118866,0.2916666666666667,0.7083333333333334,0.14583333333333334
A12_FH,A,income,high,12,-1.913914187828456,0.0614177454421494,-9.693725207631543,1.5406895048984852,0.5,0.5,0.08333333333333333
A12_FH,A,income,low,31,-7.9011629380200175,-8.158185717656224,-15.618201468746106,0.3019072414183768,0.12903225806451613,0.8709677419354839,0.0967741935483871
A12_FH,A,income,middle,24,-4.534088927932352,-2.9925387360764124,-13.192053791855296,2.5521618681026657,0.2916666666666667,0.7083333333333334,0.2916666666666667
A12_FH,A,age,25-44,26,-6.376604042722533,-4.200426043547225,-13.472886690262444,1.5277805366021084,0.2307692307692308,0.7692307692307693,0.19230769230769232
A12_FH,A,age,45-64,19,-6.0561374128816245,-3.390610435469469,-16.84070859687413,1.9821767892975732,0.3157894736842105,0.6842105263157895,0.0
A12_FH,A,age,65+,10,-2.5042364853917105,-1.011106161125852,-8.981823678821051,1.0070455762300212,0.4,0.6,0.3
A12_FH,A,age,<25,12,-5.901706232790389,-5.280648154221055,-13.673074896853848,-0.14400923224582124,0.08333333333333333,0.9166666666666666,0.25
A12_FH,A,gender,f,31,-4.3271426771463055,-3.390610435469469,-10.82336490298243,1.6767753847270512,0.2903225806451613,0.7096774193548387,0.06451612903225806
A12_FH,A,gender,m,36,-6.738325905872308,-3.287062210259428,-14.73824603131252,1.275669414746481,0.2222222222222222,0.7777777777777778,0.25
A12_FH,A,car_availability,always,61,-5.7392205957364855,-3.8203704066030326,-13.545867317497196,1.6767753847270512,0.2786885245901639,0.7213114754098361,0.16393442622950818
A12_FH,A,car_availability,never,6,-4.438116543835498,-0.8011194662404861,-12.293842247311089,-0.21938791795491847,0.0,1.0,0.16666666666666666
A12_FH,A,employment,false,19,-6.57212667375197,-1.6814333977830669,-18.248637296767868,0.7560740763594251,0.21052631578947367,0.7894736842105263,0.21052631578947367
A12_FH,A,employment,true,48,-5.246890600034399,-3.944099024494271,-13.443694439368539,2.033385707250329,0.2708333333333333,0.7291666666666666,0.14583333333333334
A8_FM,A,income,high,12,-0.11182791195721838,-0.04505506438684392,-2.2295864744064398,2.0871011720369,0.5,0.5,0.6666666666666666
A8_FM,A,income,low,31,-9.003070962150877,-7.321907259020988,-20.902603237832263,3.888785933850869,0.1935483870967742,0.8064516129032258,0.5161290322580645
A8_FM,A,income,middle,24,-3.2143114328866,-2.033954514556079,-11.060926754496169,4.64418547686752,0.2916666666666667,0.7083333333333334,0.6666666666666666
